drink,count
Wild Snow Sprout Tea,180
Golden Orchid,173
Honey Black Tea,162
Keemun Full Leaf Tea,134
Bio Pao Chung Pouchong,121
Masala Chai,110
Bi Luo Chun Green Tea (Pi Lo Chun),104
BH02: Holy Basil Purple Leaf,87
Bao Zhong Oolong Tea,78
Hu-Kwa Tea,72
Huang Shan Mao Feng Green Tea,64
Holy Basil Purple Leaf,56
Sumatra Lake Tawar,52
Top Leaf™ Green Tea,51
Home,42
Dragon Pearl Jasmine,41
English Breakfast,40
Sumatra Danau Toba,35
Wuyi Mountain Big Red Robe,35
Panama Esmeralda Especial,34
San Mateo Air Dried Loose Yerba Mate,30
Assam TGFOP Black Tea,30
Greenfield Estate Ceylon Black Tea,28
Dong Ding Oolong,27
Jasmine Petal,25
Panama Elida Estate,24
Ethiopia Yirgacheffe,24
2006 Fengqing Raw Pu-erh Tea Tuocha,24
 Masala Chai,19
Sumatra Golden Mandheling,19
Hacienda La Esmeralda Special Mario Carnaval,18
Panama El Burro Estate,18
Kenya Mamuto,18
Kenya Peaberry Kirinyaga Kii,17
Finca La Tacita,17
Magic Summer Organic Tea,17
Ethiopian Sidamo Fair Trade/Organic,17
"Hamma Cooperative Yirgacheffe, Fair-Trade Organic",17
Romance by Paradise,17
Starlight Blend,17
Panama Gesha 2011,17
Panama Elida Estate Natural Process,16
Sumatra Aceh Pondok,16
Colombia Tolima Jairo Guiterrez Micro-Lot 07,16
Kenya AA Wagamuga Auction Lot,16
India AA Elkhill Estate,16
Kenya Kirinyaga Kii Peaberry Espresso,16
Kenya AA Mathareini,16
Panama Esmeralda Lot 9,16
Kenya Karatu AA,16
Colombia La Escuelita,16
Huila El Palacio Colombia,15
Kenya Karogoto,15
Kenya,15
Kenyan AA,15
Colombia Tolimas,15
Ethiopia Yirgacheffe Aricha Selection #7,15
Kenya Kagongo Peaberry,15
Honey Pot Espresso,15
Ethiopia Sidamo Natural Korate,15
Ethiopia Yirgacheffe Koke,14
Colombia Hato Viejo Cup of Excellence,14
Kenya Thiriku Top Auction Lot,14
Burundi Kinyovu,14
Esmeralda Especial Best of Panama,14
"Cardamon Tea (Cardamom Tea, Loose)",14
Espresso Nuevo,14
Ethiopia Awassa Special,14
Kenya Peaberry Nyeri-Tatu,14
Panama Hacienda La Esmeralda Gesha,14
Resiprocate Verita Espresso,14
Kenya Nyeri AB Gichatha-ini Signature Series,13
Tres Santos Micro-Lot La Dorada Cauca,13
Ethiopia Sidama ARDI,13
Kenya AA,13
Colombia Pitalito Estate,13
"Colombia Cauca, Special Micro-Lot Selection Juvenal Penna",13
S.O. India Sitara,13
El Salvador Finca Kilimanjaro,13
Mocha Java Espresso,13
Guatemala La Conception,13
Kenya Peaberry Ruera Estate,13
El Salvador Pacamara Tierra Fertil Los Alpes Reserva,13
Fair Trade Organic Ethiopia Yirgacheffe,13
Belle Espresso,13
Ethiopia Natural Yirgacheffe Aricha Special Microlot,13
